"oreferencesA_id","RefCode","Description","ogroupingsB"
"5a83ab66e4517c3f08de9580","AZ","Total actif immobilise (i)","[{""_id"":""5a83ab66e4517c3f08de9587"",""RefCode"":""AA"",""Description"":""Charges immobilisées"",""fullDescription"":""AA-Charges immobilisées"",""id"":""5a83ab66e4517c3f08de9587""},{""_id"":""5a83ab66e4517c3f08de9588"",""RefCode"":""AD"",""Description"":""Immobilisations incorporelles"",""fullDescription"":""AD-Immobilisations incorporelles"",""id"":""5a83ab66e4517c3f08de9588""},{""_id"":""5a83ab66e4517c3f08de9589"",""RefCode"":""AI"",""Description"":""Immobilisations corporelles"",""fullDescription"":""AI-Immobilisations corporelles"",""id"":""5a83ab66e4517c3f08de9589""},{""_id"":""5a83ab66e4517c3f08de9522"",""RefCode"":""AP"",""Description"":""Avances et acomptes versés sur immobilisations"",""fullDescription"":""AP-Avances et acomptes versés sur immobilisations"",""id"":""5a83ab66e4517c3f08de9522""},{""_id"":""5a83ab66e4517c3f08de958a"",""RefCode"":""AQ"",""Description"":""Immobilisations financières"",""fullDescription"":""AQ-Immobilisations financières"",""id"":""5a83ab66e4517c3f08de958a""}]"
"5a83ab66e4517c3f08de9581","BK","Total actif circulant (ii)","[{""_id"":""5a83ab66e4517c3f08de9528"",""RefCode"":""BA"",""Description"":""Actif circulant h.a.o."",""fullDescription"":""BA-Actif circulant h.a.o."",""id"":""5a83ab66e4517c3f08de9528""},{""_id"":""5a83ab66e4517c3f08de958b"",""RefCode"":""BB"",""Description"":""Stocks"",""fullDescription"":""BB-Stocks"",""id"":""5a83ab66e4517c3f08de958b""},{""_id"":""5a83ab66e4517c3f08de958c"",""RefCode"":""BG"",""Description"":""Créances et emplois assimilés"",""fullDescription"":""BG-Créances et emplois assimilés"",""id"":""5a83ab66e4517c3f08de958c""}]"
"5a83ab66e4517c3f08de958d","BT","Total tresorerie - actif (iii)","[{""_id"":""5a83ab66e4517c3f08de958d"",""RefCode"":""BT"",""Description"":""Total tresorerie - actif (iii)"",""fullDescription"":""BT-Total tresorerie - actif (iii)"",""id"":""5a83ab66e4517c3f08de958d""}]"
"5a83ab66e4517c3f08de9533","BU","Écarts de conversion-actif","[{""_id"":""5a83ab66e4517c3f08de9533"",""RefCode"":""BU"",""Description"":""Écarts de conversion-actif"",""fullDescription"":""BU-Écarts de conversion-actif"",""id"":""5a83ab66e4517c3f08de9533""}]"
"5a83ab66e4517c3f08de9582","DG","Total ressources stables (i + ii)","[{""_id"":""5a83ab66e4517c3f08de958e"",""RefCode"":""CP"",""Description"":""Total capitaux propres (i)"",""fullDescription"":""CP-Total capitaux propres (i)"",""id"":""5a83ab66e4517c3f08de958e""},{""_id"":""5a83ab66e4517c3f08de958f"",""RefCode"":""DF"",""Description"":""Total dettes financieres (ii)"",""fullDescription"":""DF-Total dettes financieres (ii)"",""id"":""5a83ab66e4517c3f08de958f""}]"
"5a83ab66e4517c3f08de9583","DP","Total passif circulant (iii)","[{""_id"":""5a83ab66e4517c3f08de9583"",""RefCode"":""DP"",""Description"":""Total passif circulant (iii)"",""fullDescription"":""DP-Total passif circulant (iii)"",""id"":""5a83ab66e4517c3f08de9583""}]"
"5a83ab66e4517c3f08de9590","DT","Total tresorerie - passif (iv)","[{""_id"":""5a83ab66e4517c3f08de9590"",""RefCode"":""DT"",""Description"":""Total tresorerie - passif (iv)"",""fullDescription"":""DT-Total tresorerie - passif (iv)"",""id"":""5a83ab66e4517c3f08de9590""}]"
"5a83ab66e4517c3f08de954c","DV","Écarts de conversion - passif","[{""_id"":""5a83ab66e4517c3f08de954c"",""RefCode"":""DV"",""Description"":""Écarts de conversion - passif"",""fullDescription"":""DV-Écarts de conversion - passif"",""id"":""5a83ab66e4517c3f08de954c""}]"
"5a83ab66e4517c3f08de9584","SH","Charges des activités ordinaires","[{""_id"":""5a83ab66e4517c3f08de9591"",""RefCode"":""RW"",""Description"":""Total des charges d'exploitation"",""fullDescription"":""RW-Total des charges d'exploitation"",""id"":""5a83ab66e4517c3f08de9591""},{""_id"":""5a83ab66e4517c3f08de9592"",""RefCode"":""SF"",""Description"":""Total des charges financières"",""fullDescription"":""SF-Total des charges financières"",""id"":""5a83ab66e4517c3f08de9592""}]"
"5a83ab66e4517c3f08de9585","SO","Total des charges h.a.o.","[{""_id"":""5a83ab66e4517c3f08de9585"",""RefCode"":""SO"",""Description"":""Total des charges h.a.o."",""fullDescription"":""SO-Total des charges h.a.o."",""id"":""5a83ab66e4517c3f08de9585""}]"
"5a83ab66e4517c3f08de9593","SS","Total participation et impôts","[{""_id"":""5a83ab66e4517c3f08de9593"",""RefCode"":""SS"",""Description"":""Total participation et impôts"",""fullDescription"":""SS-Total participation et impôts"",""id"":""5a83ab66e4517c3f08de9593""}]"
"5a83ab66e4517c3f08de9586","UH","Total produits des activites ordinaires","[{""_id"":""5a83ab66e4517c3f08de9594"",""RefCode"":""TW"",""Description"":""Total des produits d'exploitation"",""fullDescription"":""TW-Total des produits d'exploitation"",""id"":""5a83ab66e4517c3f08de9594""},{""_id"":""5a83ab66e4517c3f08de9595"",""RefCode"":""UF"",""Description"":""Total des produits financiers"",""fullDescription"":""UF-Total des produits financiers"",""id"":""5a83ab66e4517c3f08de9595""}]"
"5a83ab66e4517c3f08de9596","UO","Total des produits h.a.o.","[{""_id"":""5a83ab66e4517c3f08de9596"",""RefCode"":""UO"",""Description"":""Total des produits h.a.o."",""fullDescription"":""UO-Total des produits h.a.o."",""id"":""5a83ab66e4517c3f08de9596""}]"